Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
55,Russell Westbrook,37,SAC,SF,19,13,539,15.4,.551,.455,.223,5.9,22.0,13.7,33.2,1.8,0.5,20.2,23.9,-0.1,0.3,0.2,.020,1.3,-0.4,0.9,0.4,,westbru01
56,Quentin Grimes,25,PHI,SG,17,2,539,13.4,.609,.554,.369,1.0,11.2,6.0,18.4,1.2,1.5,16.6,21.1,0.5,0.3,0.8,.071,-0.4,-0.8,-1.2,0.1,,grimequ01
57,Rui Hachimura,27,LAL,PF,16,16,535,13.0,.672,.370,.210,2.8,10.6,6.9,4.5,0.8,0.7,8.8,15.6,0.8,0.3,1.2,.105,0.3,-1.6,-1.3,0.1,,hachiru01
58,Wendell Carter Jr.,26,ORL,C,18,18,529,14.8,.671,.358,.460,11.2,17.3,14.3,9.2,1.0,2.1,17.1,15.8,1.0,0.6,1.6,.148,-0.2,0.4,0.3,0.3,,cartewe01
59,Isaiah Hartenstein,27,OKC,C,19,19,528,21.3,.678,.027,.336,13.7,28.1,21.3,17.3,2.2,2.9,18.6,17.2,1.3,1.5,2.8,.253,1.4,2.8,4.1,0.8,,harteis01
60,Andrew Wiggins,30,MIA,SF,16,16,527,12.8,.554,.365,.183,4.8,9.4,7.3,11.7,1.5,2.8,11.6,20.6,0.0,0.7,0.7,.067,-1.1,0.5,-0.6,0.2,,wiggian01
61,RJ Barrett,25,TOR,SF,17,17,526,17.6,.604,.367,.338,2.6,14.7,8.8,17.9,1.3,0.7,8.7,24.0,0.9,0.7,1.6,.143,1.4,-0.6,0.8,0.4,,barrerj01
62,Dennis Schröder,32,SAC,PG,18,12,525,12.0,.495,.391,.198,1.7,12.7,7.1,29.3,1.4,0.7,13.5,21.1,-0.2,0.1,0.0,-0.002,-1.4,-1.6,-3.0,-0.1,,schrode01
63,Onyeka Okongwu,25,ATL,C,18,7,524,17.6,.638,.420,.275,6.0,21.0,13.6,12.7,1.3,3.2,11.8,21.3,0.8,0.7,1.5,.139,0.5,0.0,0.5,0.3,,okongon01
64,Harrison Barnes,33,SAS,PF,17,17,523,13.9,.691,.614,.221,2.9,8.4,5.8,9.2,1.8,0.7,12.1,14.7,1.0,0.6,1.6,.143,0.9,0.3,1.2,0.4,,barneha02
65,Ajay Mitchell,23,OKC,SG,19,5,522,17.7,.565,.278,.300,2.7,11.3,7.2,20.3,3.0,1.2,11.0,24.9,0.6,1.2,1.8,.163,-0.3,1.8,1.5,0.4,,mitchaj01
66,Michael Porter Jr.,27,BRK,SF,16,16,521,20.5,.607,.479,.250,3.7,23.6,13.0,17.9,1.1,0.5,9.6,29.2,0.8,0.2,1.0,.090,4.5,-1.6,2.9,0.7,,portemi01
67,Jerami Grant,31,POR,PF,18,6,517,17.2,.624,.436,.582,3.8,9.6,6.5,12.7,1.4,1.2,11.5,23.9,1.2,0.2,1.5,.137,1.9,-1.0,0.9,0.4,,grantje01
68,Cason Wallace,22,OKC,SG,18,18,517,11.2,.550,.562,.080,3.2,7.5,5.5,11.0,3.9,1.0,12.9,13.6,0.2,1.2,1.4,.131,-2.9,3.5,0.6,0.3,,wallaca01
69,Anthony Black,22,ORL,PG,19,4,516,13.0,.583,.363,.341,2.2,9.7,6.0,14.6,2.5,1.9,15.7,20.2,0.2,0.7,0.8,.078,-2.0,1.1,-0.9,0.1,,blackan01
70,Jalen Brunson,29,NYK,PG,15,15,512,22.0,.594,.359,.291,1.2,10.0,5.4,30.4,1.0,0.2,9.1,32.1,1.5,0.4,1.8,.172,4.9,-1.5,3.4,0.7,,brunsja01
